,BrdIndx,Area,Round,Bright,Compact,ShpIndx,Mean_G,Mean_R,Mean_NIR,SD_G,SD_R,SD_NIR,LW,GLCM1,Rect,GLCM2,Dens,Assym,NDVI,BordLngth,GLCM3,BrdIndx_40,Area_40,Round_40,Bright_40,Compact_40,ShpIndx_40,Mean_G_40,Mean_R_40,Mean_NIR_40,SD_G_40,SD_R_40,SD_NIR_40,LW_40,GLCM1_40,Rect_40,GLCM2_40,Dens_40,Assym_40,NDVI_40,BordLngth_40,GLCM3_40,BrdIndx_60,Area_60,Round_60,Bright_60,Compact_60,ShpIndx_60,Mean_G_60,Mean_R_60,Mean_NIR_60,SD_G_60,SD_R_60,SD_NIR_60,LW_60,GLCM1_60,Rect_60,GLCM2_60,Dens_60,Assym_60,NDVI_60,BordLngth_60,GLCM3_60,BrdIndx_80,Area_80,Round_80,Bright_80,Compact_80,ShpIndx_80,Mean_G_80,Mean_R_80,Mean_NIR_80,SD_G_80,SD_R_80,SD_NIR_80,LW_80,GLCM1_80,Rect_80,GLCM2_80,Dens_80,Assym_80,NDVI_80,BordLngth_80,GLCM3_80,BrdIndx_100,Area_100,Round_100,Bright_100,Compact_100,ShpIndx_100,Mean_G_100,Mean_R_100,Mean_NIR_100,SD_G_100,SD_R_100,SD_NIR_100,LW_100,GLCM1_100,Rect_100,GLCM2_100,Dens_100,Assym_100,NDVI_100,BordLngth_100,GLCM3_100,BrdIndx_120,Area_120,Round_120,Bright_120,Compact_120,ShpIndx_120,Mean_G_120,Mean_R_120,Mean_NIR_120,SD_G_120,SD_R_120,SD_NIR_120,LW_120,GLCM1_120,Rect_120,GLCM2_120,Dens_120,Assym_120,NDVI_120,BordLngth_120,GLCM3_120,BrdIndx_140,Area_140,Round_140,Bright_140,Compact_140,ShpIndx_140,Mean_G_140,Mean_R_140,Mean_NIR_140,SD_G_140,SD_R_140,SD_NIR_140,LW_140,GLCM1_140,Rect_140,GLCM2_140,Dens_140,Assym_140,NDVI_140,BordLngth_140,GLCM3_140
BrdIndx,1,-0.100252093,0.810303856,-0.101774447,0.818115411,0.936475081,0.004358181,-0.128464476,-0.146250516,-0.150791382,-0.10541866,-0.076839075,-0.092689942,0.032017764,-0.786705954,0.383710773,-0.412595293,0.067399984,0.155674472,0.471300279,0.018624089,0.502163203,0.068111219,0.340714589,-0.089723489,0.283736728,0.473594906,0.015417482,-0.11743815,-0.134980243,-0.144769552,-0.157973824,-0.138347749,-0.061306945,0.120984831,-0.325860751,0.22469741,-0.15013052,0.03453035,0.158005388,0.359923516,-0.14086251,0.347169773,0.136688707,0.210680869,-0.080000223,0.182329674,0.338157451,0.023365016,-0.109604736,-0.124616794,-0.168063129,-0.18268119,-0.165263153,-0.042460575,0.125676197,-0.201999728,0.187274924,-0.100538565,0.066604355,0.16018662,0.301593257,-0.153053391,0.251083703,0.133031489,0.147026393,-0.062265372,0.092425011,0.231972349,0.034823225,-0.090806941,-0.106454026,-0.150214507,-0.182290288,-0.164985016,-0.068457532,0.111546788,-0.125959908,0.116961998,-0.036761987,0.006595346,0.158131025,0.194370937,-0.138680176,0.1804141,0.164670662,0.105522734,-0.054380019,0.044548157,0.171506205,0.039820882,-0.082858217,-0.096838984,-0.130257356,-0.164633202,-0.15494006,-0.068785284,0.144851688,-0.067847352,0.082099573,-0.014022623,-0.013369936,0.157169017,0.181254185,-0.181983148,0.18156753,0.174787843,0.130172501,-0.056337263,0.051168273,0.186460863,0.02316489,-0.080369413,-0.09037187,-0.103044043,-0.124186538,-0.11680742,-0.054305921,0.129236542,-0.094777945,0.070785648,-0.068381878,0.026591339,0.136502546,0.192041236,-0.164020678,0.147356653,0.152027784,0.108496265,-0.070423441,0.015240635,0.159701437,0.00382298,-0.092280997,-0.100190423,-0.083308432,-0.113139936,-0.103912218,-0.038579115,0.124514028,-0.07542171,0.050817181,-0.079773549,0.060069348,0.137881346,0.1557601,-0.166479827
Area,-0.100252093,1,-0.201098403,0.316216336,-0.22393777,-0.083922283,0.150569359,0.375467257,0.334885903,-0.416157379,-0.46803359,-0.451750522,0.089534974,-0.33838234,0.329963082,0.078319877,0.338942612,0.01980854,-0.286304119,0.730739842,-0.045716534,-0.202563164,0.488598096,-0.160290313,0.33530309,-0.184355052,-0.182606605,0.17078051,0.391929672,0.354389717,-0.470326668,-0.51027973,-0.497626604,0.020879591,-0.465931811,0.241563967,-0.35402134,0.18840865,0.02717413,-0.29247867,0.273323329,0.222605721,-0.211802481,0.427461135,-0.179896513,0.345855691,-0.176883011,-0.182769029,0.184776763,0.400853188,0.364451813,-0.486141759,-0.504443363,-0.499244784,0.033892912,-0.513284146,0.211491117,-0.433722723,0.137990588,0.017796563,-0.291725793,0.160162187,0.308068678,-0.246376227,0.252851397,-0.188663218,0.36275202,-0.167944716,-0.225795597,0.206321177,0.415409721,0.381220154,-0.491872702,-0.517864001,-0.515162007,0.003267271,-0.516673865,0.228075985,-0.483952255,0.151617165,-0.002774624,-0.298714307,0.031850009,0.34734371,-0.264158705,0.160431084,-0.203759674,0.377113858,-0.167139144,-0.245685244,0.218211533,0.429520727,0.397140189,-0.49654144,-0.528174786,-0.526906578,-0.018600734,-0.547618715,0.233649287,-0.516286816,0.163959083,-0.015622619,-0.322932656,-0.029125679,0.371508772,-0.278574751,0.091483142,-0.213668508,0.383647739,-0.167959915,-0.262884315,0.224622646,0.435144787,0.407245745,-0.498785809,-0.537502642,-0.538619556,-0.020622095,-0.563799176,0.228109203,-0.544459074,0.162410268,-0.026868082,-0.340079636,-0.077922459,0.399663527,-0.261532485,0.083704487,-0.201463155,0.384739822,-0.126678203,-0.244367016,0.230441678,0.434631568,0.408499588,-0.506533046,-0.541034289,-0.537915312,-0.020524004,-0.562416257,0.206303465,-0.549614324,0.144613196,-0.022491516,-0.347257167,-0.05769436,0.412444614
Round,0.810303856,-0.201098403,1,-0.135497196,0.891160224,0.817821723,-0.028123896,-0.166701641,-0.169410022,0.027020661,0.039584224,0.049394124,0.020586485,0.152679869,-0.885111199,0.382276306,-0.615181255,0.197868732,0.159180951,0.29775558,-0.005387443,0.472242118,-0.056886282,0.451897458,-0.120201101,0.39185037,0.448321303,-0.011280149,-0.152991881,-0.157511372,0.001054198,-0.01956066,-0.013823395,-0.065485695,0.20538626,-0.441581578,0.276112859,-0.268506046,0.095006343,0.159986627,0.230506314,-0.161837749,0.330529145,-0.005294605,0.288371329,-0.110283854,0.260918744,0.313818888,-0.00278268,-0.145314398,-0.147137029,-0.01852716,-0.044469936,-0.03194324,-0.059392928,0.207230062,-0.272195439,0.255297554,-0.162834028,0.069318163,0.164012908,0.187921409,-0.181272796,0.231918892,0.002878379,0.207253453,-0.101568145,0.122088713,0.208917112,0.000171306,-0.133341144,-0.139586845,0.012054278,-0.029215461,-0.011381667,-0.077135475,0.197813965,-0.204948175,0.222265354,-0.092982556,0.013205108,0.162611851,0.094099933,-0.194132909,0.187206345,0.019783667,0.173585084,-0.099026736,0.07958357,0.172240823,-0.002438047,-0.128718014,-0.134925238,0.010574704,-0.013585317,0.00169629,-0.076997548,0.195838884,-0.151390786,0.18953729,-0.063486539,-0.00920404,0.157919548,0.091666479,-0.196161347,0.187372905,0.039305581,0.167123642,-0.099745237,0.059861075,0.185239432,-0.015594172,-0.124813225,-0.130119025,0.040286967,0.047684608,0.055618108,-0.069680434,0.185057816,-0.151072957,0.179557879,-0.086953303,0.019176839,0.138938307,0.115678631,-0.182748968,0.177632417,0.032001659,0.165269411,-0.117644023,0.046365792,0.177047612,-0.038357033,-0.140891942,-0.143593874,0.076487579,0.071850455,0.077742118,-0.059991301,0.195373744,-0.14848518,0.176815431,-0.107653398,0.066130695,0.145142497,0.098343253,-0.197160834
Bright,-0.101774447,0.316216336,-0.135497196,1,-0.173634595,-0.093613411,0.841357172,0.969720486,0.966267845,-0.189646031,-0.156780086,-0.184764331,0.03860787,-0.312805169,0.170203657,-0.176727671,0.117496138,0.035508177,-0.273122956,0.215180304,0.159560977,-0.061981326,0.261102633,-0.012144856,0.991417159,0.015488247,-0.04941642,0.844918415,0.961569495,0.958328352,-0.253650379,-0.136724655,-0.160516335,0.04234837,-0.374861009,0.028247378,-0.307616432,0.030476736,-0.042066684,-0.285960102,0.170212842,0.305180803,-0.069047078,0.298068629,0.01256619,0.981305548,0.024547947,-0.035248927,0.835223009,0.955934934,0.951484004,-0.253341532,-0.119778004,-0.137991576,0.069624646,-0.368979469,0.016257674,-0.32407734,-0.012445648,-0.00937221,-0.296678326,0.166500257,0.314595047,-0.069917437,0.257590506,0.008560021,0.964920213,0.060297118,-0.046589517,0.831346688,0.942451361,0.937408374,-0.290047503,-0.161175061,-0.17610943,0.056168897,-0.332633919,0.018608521,-0.319880737,0.004547787,-0.008517109,-0.300026612,0.118421558,0.279978578,-0.000589361,0.243351185,0.013880813,0.948714417,0.093240738,0.009936462,0.824326891,0.927105619,0.922513946,-0.352990408,-0.205832897,-0.226296997,0.060260793,-0.378871426,-0.032959296,-0.345514685,-0.0083467,-0.027944546,-0.324931569,0.138955781,0.336547133,-0.064029626,0.212892679,0.00097364,0.938248265,0.069307388,-0.052380741,0.825363367,0.917076116,0.915345673,-0.40321676,-0.244895457,-0.272720819,0.056690474,-0.391431832,0.015378716,-0.384913567,0.037322011,-0.056668292,-0.340066391,0.08177677,0.349967347,-0.066600604,0.199218247,0.003102137,0.928871835,0.080663642,-0.054113537,0.825914795,0.908522787,0.907113361,-0.399333863,-0.249415748,-0.2754759,0.053060124,-0.383558168,0.019895005,-0.387450166,0.028985868,-0.049710973,-0.348471534,0.081353714,0.338806552
Compact,0.818115411,-0.22393777,0.891160224,-0.173634595,1,0.815159292,-0.061851811,-0.202749985,-0.205797352,0.041357817,0.035873802,0.046454925,-0.006981862,0.185155509,-0.905455107,0.362159344,-0.597287527,0.150699353,0.18167353,0.279134551,-0.015381015,0.488114777,-0.066662698,0.4407429,-0.163078402,0.443512928,0.467884333,-0.051017996,-0.193016596,-0.197805241,0.038124306,-0.001113458,0.010689966,-0.051319952,0.247370025,-0.467782271,0.321992763,-0.274652826,0.066891688,0.183756985,0.236386773,-0.198811697,0.363989342,-0.044971936,0.300131286,-0.149195543,0.314325092,0.351173978,-0.040580998,-0.180660046,-0.183443037,0.006330451,-0.030825619,-0.014452081,-0.049309697,0.224016233,-0.318326159,0.288139165,-0.178878271,0.050782715,0.181666598,0.181876623,-0.196641276,0.258651293,0.000449587,0.216501247,-0.133275652,0.158902169,0.239990057,-0.033832122,-0.160999451,-0.168018761,0.04223187,-0.0088393,0.011393347,-0.065447759,0.211316796,-0.224259892,0.239694423,-0.093707342,-0.008030325,0.175202614,0.113174141,-0.198313646,0.203486669,0.018922519,0.177793912,-0.128238237,0.102040684,0.19468862,-0.03174468,-0.154889933,-0.162433896,0.057063535,0.009474217,0.031500111,-0.057945554,0.219075768,-0.168306999,0.213533339,-0.073127467,-0.00966285,0.177302768,0.107219979,-0.212030925,0.198588473,0.036270453,0.175497742,-0.131017526,0.090157698,0.199269703,-0.04631521,-0.153875097,-0.159465179,0.07926113,0.049902776,0.061217172,-0.047598632,0.212228222,-0.173980504,0.201525945,-0.100299443,0.019118508,0.163439443,0.121038162,-0.203385528,0.17942918,0.019964067,0.174170629,-0.147956104,0.06494294,0.179103567,-0.068410184,-0.169102489,-0.172088766,0.114021216,0.078713956,0.086880292,-0.042599048,0.216282852,-0.166195256,0.190639795,-0.116260472,0.054944945,0.167504811,0.090428874,-0.214032375
ShpIndx,0.936475081,-0.083922283,0.817821723,-0.093613411,0.815159292,1,0.007178072,-0.116963743,-0.138570329,-0.150372322,-0.119039179,-0.085363158,0.230105287,0.009259378,-0.78256067,0.381395655,-0.631165174,0.293394052,0.151916504,0.538374726,0.066590457,0.493185751,0.078808384,0.410925573,-0.08177564,0.357072688,0.53822693,0.021559706,-0.107636806,-0.128948283,-0.144201302,-0.161516912,-0.138862506,0.122841875,0.119101767,-0.390086378,0.228488272,-0.335890497,0.192224231,0.156509415,0.42255183,-0.1341291,0.338215355,0.162237688,0.260926991,-0.071850836,0.248094052,0.387514814,0.030751387,-0.100278322,-0.11857021,-0.173773424,-0.196787624,-0.17487683,0.126532066,0.121335044,-0.254526864,0.186678611,-0.258414862,0.19258059,0.165002532,0.353186479,-0.13931627,0.230021542,0.155815832,0.192814979,-0.054820352,0.144477203,0.26078746,0.042014389,-0.082217517,-0.101285598,-0.157015578,-0.197121581,-0.175185311,0.079985568,0.10318537,-0.171823092,0.110179204,-0.180209959,0.123586461,0.164314507,0.223790902,-0.128583623,0.170471939,0.188208163,0.154282821,-0.044857087,0.090002804,0.20865963,0.048375741,-0.071836709,-0.089624213,-0.137083338,-0.175068402,-0.159982131,0.051426396,0.130545005,-0.12258068,0.083547766,-0.147672902,0.097172438,0.157591222,0.218300323,-0.164595435,0.16653371,0.187168684,0.174521294,-0.047699814,0.088674161,0.21401861,0.032192248,-0.070527247,-0.084639034,-0.10829392,-0.127147958,-0.120227973,0.063208473,0.115156393,-0.143425402,0.069595856,-0.195570703,0.131502898,0.139028391,0.214564755,-0.145308851,0.14155373,0.154816324,0.156900057,-0.063315927,0.061179776,0.191756625,0.011340923,-0.084191687,-0.095459673,-0.086215956,-0.110502345,-0.103227634,0.072484601,0.108158018,-0.126123966,0.04783018,-0.201914333,0.162507631,0.140950634,0.173636302,-0.143243401
Mean_G,0.004358181,0.150569359,-0.028123896,0.841357172,-0.061851811,0.007178072,1,0.693810384,0.684149224,0.004343396,-0.04673002,-0.038814924,0.016816274,-0.050274084,0.016969238,-0.003935102,0.008376803,0.038122859,0.270421131,0.11177172,-0.011814515,0.064272477,0.149616437,0.074652693,0.827093767,0.094783841,0.044665086,0.988459461,0.685042357,0.674982412,-0.080517923,-0.063452683,-0.077337683,-0.007216426,-0.09985257,-0.072337263,-0.048386577,0.013185866,-0.105284998,0.252831962,0.117200095,0.055701449,0.100452087,0.205759693,0.127985097,0.82088788,0.131743638,0.095686659,0.973927677,0.684983541,0.674674505,-0.092416884,-0.053616124,-0.06177169,0.016602087,-0.098665558,-0.099832326,-0.028601058,-0.030760257,-0.074830556,0.237343948,0.173840982,0.052222887,0.123787982,0.203715286,0.139610715,0.804974223,0.153463396,0.114036435,0.954848826,0.678346853,0.666549716,-0.107140127,-0.06962574,-0.082729121,0.015723408,-0.079375161,-0.113036888,-0.016461774,-0.026747341,-0.084214398,0.228769482,0.163030446,0.026994405,0.139694334,0.206283792,0.138256838,0.786063036,0.16137843,0.125842966,0.93601574,0.664567794,0.654704997,-0.191467959,-0.121642213,-0.140716158,0.02741628,-0.147778597,-0.139516644,-0.081927424,-0.033652506,-0.095051901,0.19804976,0.166078468,0.103646125,0.074579819,0.185460656,0.104484872,0.764949537,0.118701222,0.06848288,0.904364139,0.652786563,0.648721013,-0.23183053,-0.147928928,-0.178513774,0.028593624,-0.172157717,-0.088883121,-0.132202915,0.006507631,-0.094165436,0.160195588,0.119333124,0.129290553,0.070548819,0.179816485,0.096645322,0.746337264,0.116666013,0.064164962,0.884549722,0.639939073,0.637300879,-0.218857297,-0.138149969,-0.165245992,0.028335931,-0.171576392,-0.099211184,-0.135633353,-0.016886176,-0.063709762,0.146701113,0.112859413,0.130248035
Mean_R,-0.128464476,0.375467257,-0.166701641,0.969720486,-0.202749985,-0.116963743,0.693810384,1,0.981783362,-0.27274838,-0.210361272,-0.245684454,0.052020158,-0.418851399,0.22089039,-0.230536769,0.149508128,0.044336765,-0.479898172,0.262280204,0.23709182,-0.103487768,0.297247039,-0.039783296,0.964429994,-0.017129215,-0.075622774,0.703297902,0.992299106,0.976022783,-0.325584138,-0.181778461,-0.204640206,0.066020396,-0.481969806,0.064073702,-0.396589186,0.026155446,0.00077248,-0.489198623,0.193741235,0.401741364,-0.128920124,0.320811949,-0.028618062,0.953154918,-0.020873257,-0.078940986,0.696716346,0.983907773,0.966609976,-0.318998099,-0.160804128,-0.17864226,0.092225595,-0.471497124,0.057875246,-0.427080965,-0.012721271,0.026542341,-0.495621769,0.160158824,0.414018581,-0.139333918,0.267284524,-0.036824597,0.938540044,0.018774535,-0.100845355,0.700321644,0.968901805,0.951756605,-0.360608517,-0.20790037,-0.22149935,0.075100025,-0.426627323,0.065228637,-0.423620413,0.006978363,0.031855884,-0.495846535,0.100575603,0.373967236,-0.052357852,0.246798721,-0.028593733,0.925077206,0.059855085,-0.029315372,0.698666435,0.953895302,0.937897261,-0.408570362,-0.246029657,-0.265558043,0.07471199,-0.455678213,0.006977278,-0.428141618,-0.00737203,0.010961313,-0.515897971,0.126534718,0.413342405,-0.10988437,0.214773308,-0.033223995,0.920311045,0.045415342,-0.088939062,0.710691555,0.946083594,0.933223176,-0.460815759,-0.28736311,-0.312790031,0.068639374,-0.463242722,0.049459531,-0.461808036,0.03683552,-0.030764106,-0.524954623,0.069304364,0.422936477,-0.11043681,0.196846229,-0.027166241,0.915163702,0.062423354,-0.088496199,0.718853428,0.93945273,0.927071004,-0.461947676,-0.296584022,-0.319679007,0.063875573,-0.45459984,0.061316399,-0.463300434,0.036474867,-0.035224398,-0.531387726,0.070699628,0.409992257
Mean_NIR,-0.146250516,0.334885903,-0.169410022,0.966267845,-0.205797352,-0.138570329,0.684149224,0.981783362,1,-0.23416841,-0.165194889,-0.211315373,0.035780521,-0.36827464,0.216890225,-0.235996512,0.1557908,0.016654405,-0.478198301,0.212574593,0.196202018,-0.116768747,0.26768727,-0.056988349,0.960984967,-0.023201242,-0.094540459,0.694042343,0.975373352,0.992480212,-0.27842379,-0.125849459,-0.15445242,0.052414679,-0.427470628,0.073325515,-0.379172736,0.043970271,-0.022794464,-0.487935583,0.157238951,0.360692676,-0.141145241,0.294262996,-0.048308131,0.950731769,-0.027102183,-0.097339531,0.68731993,0.968882748,0.983985089,-0.274034597,-0.110355717,-0.134075332,0.078266216,-0.423495249,0.07135605,-0.409422147,0.006499603,0.012434685,-0.496768498,0.132548269,0.376524853,-0.153106963,0.241981005,-0.06082962,0.935434805,0.009572319,-0.121379288,0.689758443,0.953741295,0.96837974,-0.317398874,-0.159611045,-0.17449474,0.060357979,-0.388547427,0.081654679,-0.412298135,0.028587134,0.017434136,-0.498114181,0.073629193,0.346453077,-0.069526615,0.222434122,-0.053781584,0.922052076,0.049233038,-0.052855716,0.688938069,0.939807415,0.95276967,-0.36434441,-0.195486609,-0.213959816,0.061626443,-0.423838687,0.025607304,-0.419794897,0.014597183,-0.004024843,-0.517891735,0.099640143,0.39179464,-0.124694162,0.191387585,-0.054380542,0.917114249,0.036725713,-0.109583348,0.706982056,0.931046625,0.94341005,-0.410830521,-0.235396965,-0.257606128,0.057237936,-0.428671872,0.068157775,-0.447566521,0.057282038,-0.039259882,-0.516315362,0.045060177,0.395728102,-0.127570227,0.177923095,-0.048046418,0.913346363,0.051598296,-0.110968272,0.717347372,0.926007379,0.937486997,-0.410475917,-0.246635177,-0.269552455,0.052574706,-0.416804686,0.077101068,-0.449892207,0.055530776,-0.042418765,-0.520589207,0.048142761,0.378068178
SD_G,-0.150791382,-0.416157379,0.027020661,-0.189646031,0.041357817,-0.150372322,0.004343396,-0.27274838,-0.23416841,1,0.838883942,0.854645273,-0.076704909,0.501207121,-0.141584741,0.100546795,-0.191904,-0.084158948,0.403471531,-0.510134041,-0.181822362,0.034938558,-0.37876082,0.094351009,-0.217273209,0.134649686,-0.001205078,-0.036031695,-0.290698055,-0.256219012,0.838385154,0.734514091,0.732855745,-0.082538553,0.37740546,-0.165208623,0.389779141,-0.09538206,-0.138595279,0.389310969,-0.382461757,-0.134005779,0.072974151,-0.422861487,0.100252437,-0.227758691,0.127325737,0.013885804,-0.061155855,-0.294425217,-0.261192283,0.768272493,0.679657787,0.684052186,-0.110562691,0.372104587,-0.139921571,0.439412677,-0.036227001,-0.168202818,0.359882255,-0.326955498,-0.155013108,0.184928158,-0.365756193,0.153327175,-0.281493669,0.143518853,0.126919359,-0.121342284,-0.340955855,-0.310235431,0.754260724,0.69984186,0.705456007,-0.090724479,0.40221812,-0.22167782,0.568275208,-0.082501725,-0.093255335,0.361382076,-0.186645199,-0.256709965,0.224605699,-0.312512785,0.175623579,-0.296946389,0.142709156,0.169187803,-0.13587009,-0.353738842,-0.32745833,0.715112013,0.671007338,0.677122587,-0.067276658,0.383854669,-0.229525923,0.600227681,-0.0928158,-0.06410714,0.37564494,-0.110458482,-0.260361877,0.192041181,-0.301524286,0.136708407,-0.307949823,0.099954263,0.144746475,-0.155847833,-0.359169434,-0.337356476,0.684034053,0.666392115,0.669347631,-0.061705078,0.370772283,-0.198952194,0.58018878,-0.072799666,-0.037926218,0.374791591,-0.112858159,-0.252760936,0.166898285,-0.283937742,0.111272491,-0.315997063,0.055305549,0.121272162,-0.171961273,-0.363122349,-0.343640148,0.678798003,0.650019411,0.649986162,-0.055522921,0.372718154,-0.182368542,0.559941802,-0.068045503,-0.024568708,0.374861389,-0.130347467,-0.259806729
